query_id,latency_ms
0,1.12112
1,1.14229
2,1.15088
3,1.13875
4,1.13383
5,1.16229
6,1.10533
7,1.15229
8,1.14938
9,1.14354
10,1.15225
11,1.13929
12,1.14442
13,1.20079
14,1.1635
15,1.15708
16,1.1425
17,1.15004
18,1.13875
19,1.15613
20,1.14304
21,1.13692
22,1.16575
23,1.15142
24,1.13787
25,1.13538
26,1.33167
27,1.20063
28,1.1785
29,1.15467
30,1.16046
31,1.13992
32,1.14108
33,1.15554
34,1.14083
35,1.13642
36,1.15908
37,1.14521
38,1.13796
39,1.13921
40,1.13454
41,1.16088
42,1.2
43,1.12963
44,1.1695
45,1.14133
46,1.14008
47,1.14
48,1.17567
49,1.13517
50,1.16054
51,1.14429
52,1.15237
53,1.13792
54,1.14158
55,1.14717
56,1.2035
57,1.13417
58,1.14367
59,1.15837
60,1.13642
61,1.14025
62,1.16217
63,1.21617
64,1.25325
65,1.16696
66,1.13763
67,1.12787
68,1.15317
69,1.186
70,1.19425
71,1.13637
72,1.15042
73,1.15358
74,1.14333
75,1.14525
76,1.14479
77,1.15321
78,1.14179
79,1.17475
80,1.14633
81,1.15742
82,1.15158
83,1.14483
84,1.15271
85,1.21075
86,1.16667
87,1.1635
88,1.14088
89,1.15167
90,1.13971
91,1.15608
92,1.14183
93,1.14679
94,1.13846
95,1.14775
96,1.13975
97,1.13925
98,1.14783
99,1.19404
